f1|accuracy|precision|recall|dataset
0.7260103839832661|0.8358440407620735|0.7761099854174851|0.7010336935543557|Validação Cruzada
0.6984049639153826|0.8354935194416749|0.8042724458204333|0.6670929241261722|Validação Cruzada
0.7001711627009957|0.8351611831173147|0.799789688602426|0.6692493003196048|Validação Cruzada
0.6940570916124427|0.832391713747646|0.7939935467858029|0.6640444313844425|Validação Cruzada
0.7214906911855671|0.8362689708651823|0.7811184550547756|0.6945043967455822|Validação Cruzada
0.7201438686921828|0.8325062034739454|0.7694744782499372|0.6958079423237916|Teste
0.7001488095238095|0.8337468982630273|0.7929470176942293|0.6700370880813921|Teste
0.6934067563458847|0.8313541297412265|0.789766723109841|0.6638825794864653|Teste
0.6995399841414932|0.8336582772066643|0.7932705950164051|0.6694027330250396|Teste
0.7162488636142668|0.8334810350939383|0.7756493745445019|0.6897914135569183|Teste
