indice,f1,accuracy,precision,recall,dataset
0,0.764313,0.764313,0.764313,0.764313,Validação Cruzada
1,0.768644,0.768646,0.768655,0.768646,Validação Cruzada
2,0.767926,0.767936,0.767983,0.767936,Validação Cruzada
3,0.762441,0.762449,0.762485,0.762449,Validação Cruzada
4,0.764331,0.764367,0.764531,0.764368,Validação Cruzada
0,0.714417,0.766395,0.701618,0.768201,Teste
1,0.714967,0.767104,0.702019,0.768367,Teste
2,0.716098,0.768610,0.702838,0.768611,Teste
3,0.714364,0.766395,0.701555,0.768057,Teste
4,0.714914,0.767104,0.701957,0.768222,Teste
